((0, 0), (1, 1)):-58.61;-54.52;-58.61;-59.89;DOWN
((0, 0), (1, 2)):-33.75;-39.80;-33.75;-38.64;UP
((0, 0), (1, 3)):-25.37;-24.25;-25.37;-28.55;DOWN
((0, 0), (1, 4)):-8.50;-8.00;-8.50;-8.00;DOWN
((0, 0), (1, 5)):-8.50;-8.00;-8.50;-8.00;DOWN
((0, 0), (2, 1)):-66.82;-64.94;-66.82;-65.88;DOWN
((0, 0), (2, 2)):-42.08;-47.45;-42.08;-49.07;UP
((0, 0), (2, 3)):-33.75;-32.73;-33.75;-37.17;DOWN
((0, 0), (2, 4)):-25.37;-25.03;-25.37;-26.82;DOWN
((0, 0), (2, 5)):-8.50;-8.00;-8.50;-8.00;DOWN
((0, 0), (2, 6)):-8.50;-8.00;-8.50;-8.00;DOWN
((0, 0), (2, 7)):-8.50;-8.00;0.00;0.00;LEFT
((0, 0), (3, 1)):-83.11;-86.38;-83.11;-90.47;UP
((0, 0), (3, 2)):-66.82;-66.80;-66.82;-65.63;RIGHT
((0, 0), (3, 3)):-50.37;-45.23;-50.37;-47.51;DOWN
((0, 0), (3, 4)):-33.75;-38.14;-33.75;-39.48;UP
((0, 0), (3, 5)):-33.75;-32.97;-33.75;-36.02;DOWN
((0, 0), (3, 6)):-16.96;-15.71;-16.96;-21.81;DOWN
((0, 0), (3, 7)):-8.50;-8.00;-8.50;-8.00;DOWN
((0, 0), (3, 8)):-8.50;-8.00;-8.50;-8.00;DOWN
((0, 0), (3, 9)):-8.50;-8.00;-8.50;-8.00;DOWN
((0, 0), (4, 1)):-107.25;-110.18;-107.25;-108.55;UP
((0, 0), (4, 2)):-99.24;-106.71;-99.24;-100.76;UP
((0, 1), (1, 1)):-55.17;-60.79;-56.79;-62.09;UP
((0, 1), (1, 2)):-39.60;-37.66;-35.52;-38.05;LEFT
((0, 1), (1, 3)):-23.88;-22.88;-25.25;-27.11;DOWN
((0, 1), (1, 4)):-8.00;-7.50;-8.50;-7.50;DOWN
((0, 1), (1, 5)):-8.00;-7.50;-8.50;-7.50;DOWN
((0, 1), (1, 6)):-8.00;-7.50;0.00;0.00;LEFT
((0, 1), (2, 1)):-69.22;-72.16;-67.97;-65.41;RIGHT
((0, 1), (2, 2)):-47.40;-43.73;-45.12;-46.90;DOWN
((0, 1), (2, 3)):-31.76;-30.70;-36.16;-32.87;DOWN
((0, 1), (2, 4)):-23.88;-22.88;-25.25;-27.14;DOWN
((0, 1), (2, 5)):-8.00;-7.50;-8.50;-7.50;DOWN
((0, 1), (2, 6)):-8.00;-7.50;-8.50;-7.50;DOWN
((0, 1), (2, 7)):-8.00;-7.50;0.00;0.00;LEFT
((0, 1), (2, 9)):-8.00;-7.50;0.00;0.00;LEFT
((0, 1), (3, 1)):-83.51;-82.97;-88.89;-89.90;DOWN
((0, 1), (3, 2)):-62.89;-63.83;-64.62;-57.03;RIGHT
((0, 1), (3, 3)):-47.40;-51.73;-51.47;-45.31;RIGHT
((0, 1), (3, 4)):-39.60;-41.78;-34.24;-34.66;LEFT
((0, 1), (3, 5)):-31.76;-35.90;-35.03;-32.98;UP
((0, 1), (3, 6)):-15.96;-14.71;-18.84;-20.34;DOWN
((0, 1), (3, 7)):-8.00;-14.71;-8.50;0.00;RIGHT
((0, 1), (3, 8)):-8.00;-7.50;-8.50;-7.50;DOWN
((0, 1), (3, 9)):-8.00;-7.50;-8.50;-7.50;DOWN
((0, 1), (3, 10)):0.00;0.00;0.00;0.00;UP
((0, 1), (4, 1)):-100.94;-101.57;-107.62;-106.31;UP
((0, 1), (4, 2)):-100.94;-99.48;-103.39;-101.77;DOWN
((0, 2), (1, 1)):-58.61;-60.30;-58.18;-64.62;LEFT
((0, 2), (1, 2)):-29.78;-29.73;-36.23;-32.28;DOWN
((0, 2), (1, 3)):-22.39;-25.83;-24.13;-23.30;UP
((0, 2), (1, 4)):-7.50;-10.50;-8.00;-13.72;UP
((0, 2), (1, 5)):-7.50;-7.00;-8.00;-7.00;DOWN
((0, 2), (1, 6)):-7.50;-7.00;0.00;0.00;LEFT
((0, 2), (2, 1)):-66.82;-70.28;-68.92;-71.15;UP
((0, 2), (2, 2)):-44.44;-44.02;-45.16;-45.87;DOWN
((0, 2), (2, 3)):-29.78;-31.12;-31.04;-34.37;UP
((0, 2), (2, 4)):-22.39;-21.39;-23.76;-25.81;DOWN
((0, 2), (2, 5)):-7.50;-7.00;-8.00;-11.69;DOWN
((0, 2), (2, 6)):-7.50;-7.00;-8.00;-7.00;DOWN
((0, 2), (2, 7)):-7.50;-7.00;0.00;0.00;LEFT
((0, 2), (2, 9)):-7.50;-7.00;0.00;0.00;LEFT
((0, 2), (3, 1)):-83.11;-87.55;-88.94;-88.67;UP
((0, 2), (3, 2)):-51.72;-58.55;-58.62;-54.19;UP
((0, 2), (3, 3)):-44.44;-46.32;-51.27;-44.24;RIGHT
((0, 2), (3, 4)):-29.78;-38.18;-32.99;-32.84;UP
((0, 2), (3, 5)):-29.78;-27.54;-34.72;-31.08;DOWN
((0, 2), (3, 6)):-14.96;-14.21;-17.71;-19.72;DOWN
((0, 2), (3, 7)):-7.50;-7.00;-8.00;-12.42;DOWN
((0, 2), (3, 8)):-7.50;-7.00;-8.00;-7.00;DOWN
((0, 2), (3, 9)):-7.50;-7.00;-8.00;-7.00;DOWN
((0, 2), (3, 10)):-7.50;-7.00;0.00;0.00;LEFT
((0, 2), (3, 11)):-7.50;-7.00;0.00;0.00;LEFT
((0, 2), (4, 1)):-99.24;-101.75;-97.06;-103.61;LEFT
((0, 2), (4, 2)):-94.63;-95.15;-98.45;-97.03;UP
((0, 3), (1, 1)):-62.06;-65.24;-62.23;-60.11;RIGHT
((0, 3), (1, 2)):-31.76;-26.82;-30.08;-32.11;DOWN
((0, 3), (1, 3)):-19.53;-18.93;-23.73;-13.12;RIGHT
((0, 3), (1, 4)):-13.96;-16.79;-10.96;-11.38;LEFT
((0, 3), (1, 5)):-7.00;-6.50;-7.50;-6.50;DOWN
((0, 3), (1, 6)):-7.00;-6.50;0.00;0.00;LEFT
((0, 3), (1, 7)):-7.00;0.00;0.00;0.00;DOWN
((0, 3), (2, 1)):-62.06;-65.08;-69.25;-70.08;UP
((0, 3), (2, 2)):-39.60;-37.28;-41.01;-42.64;DOWN
((0, 3), (2, 3)):-34.65;-33.75;-28.59;-32.59;LEFT
((0, 3), (2, 4)):-20.90;-28.62;-22.64;-21.21;UP
((0, 3), (2, 5)):-17.70;-13.21;-11.25;-17.16;LEFT
((0, 3), (2, 6)):-7.00;-6.50;-7.50;-6.50;DOWN
((0, 3), (2, 7)):-7.00;-6.50;0.00;0.00;LEFT
((0, 3), (2, 9)):-7.00;-6.50;0.00;0.00;LEFT
((0, 3), (3, 1)):-88.00;-81.98;-86.71;-84.10;DOWN
((0, 3), (3, 2)):-47.40;-52.82;-55.84;-46.48;RIGHT
((0, 3), (3, 3)):-41.48;-37.98;-47.15;-40.75;DOWN
((0, 3), (3, 4)):-34.65;-34.69;-36.95;-38.14;UP
((0, 3), (3, 5)):-27.79;-34.53;-30.20;-29.53;UP
((0, 3), (3, 6)):-13.96;-23.29;-16.59;-17.96;UP
((0, 3), (3, 7)):-13.96;-13.21;-11.25;-18.02;LEFT
((0, 3), (3, 8)):-7.00;-6.50;-7.50;-6.50;DOWN
((0, 3), (3, 9)):-7.00;-6.50;-7.50;-6.50;DOWN
((0, 3), (3, 10)):-7.00;-6.50;0.00;0.00;LEFT
((0, 3), (3, 11)):-7.00;-6.50;-7.50;0.00;RIGHT
((0, 3), (4, 1)):-96.56;-100.46;-95.23;-97.89;LEFT
((0, 3), (4, 2)):-93.40;-93.93;-87.64;-88.37;LEFT
((0, 4), (1, 1)):-56.29;-53.56;-58.41;-55.29;DOWN
((0, 4), (1, 2)):-25.37;-22.52;-30.70;-26.27;DOWN
((0, 4), (1, 3)):-14.96;-10.50;-10.46;-12.00;LEFT
((0, 4), (1, 4)):-6.50;-13.93;-10.46;-7.00;UP
((0, 4), (1, 5)):-6.50;-6.00;-7.00;-6.00;DOWN
((0, 4), (1, 6)):-6.50;-6.00;0.00;0.00;LEFT
((0, 4), (1, 7)):-6.50;-6.00;0.00;0.00;LEFT
((0, 4), (2, 1)):-65.51;-61.86;-65.85;-64.55;DOWN
((0, 4), (2, 2)):-33.75;-31.47;-41.76;-37.91;DOWN
((0, 4), (2, 3)):-29.78;-28.91;-26.67;-23.28;RIGHT
((0, 4), (2, 4)):-19.40;-18.65;-25.07;-17.08;RIGHT
((0, 4), (2, 5)):-12.97;-15.29;-13.72;-15.20;UP
((0, 4), (2, 6)):-6.50;-6.00;-7.00;-6.00;DOWN
((0, 4), (2, 7)):-6.50;-6.00;0.00;0.00;LEFT
((0, 4), (2, 9)):-6.50;-6.00;0.00;0.00;LEFT
((0, 4), (3, 1)):-83.81;-82.87;-77.86;-78.27;LEFT
((0, 4), (3, 2)):-42.08;-49.82;-43.96;-45.57;UP
((0, 4), (3, 3)):-44.44;-40.36;-43.98;-38.10;RIGHT
((0, 4), (3, 4)):-32.18;-39.01;-35.76;-35.35;UP
((0, 4), (3, 5)):-25.81;-24.74;-27.11;-28.91;DOWN
((0, 4), (3, 6)):-19.40;-18.41;-21.77;-15.79;RIGHT
((0, 4), (3, 7)):-12.97;-17.66;-15.47;-14.98;UP
((0, 4), (3, 8)):-6.50;-6.00;-7.00;-6.00;DOWN
((0, 4), (3, 9)):-6.50;-6.00;-7.00;-6.00;DOWN
((0, 4), (3, 10)):0.00;0.00;0.00;0.00;UP
((0, 4), (3, 11)):-6.50;-6.00;-7.00;0.00;RIGHT
((0, 4), (4, 1)):-92.89;-91.07;-92.24;-88.90;RIGHT
((0, 4), (4, 2)):-83.11;-83.67;-82.92;-83.29;LEFT
((0, 5), (1, 1)):-49.50;-50.65;-51.93;-42.66;RIGHT
((0, 5), (1, 2)):-17.95;-21.56;-23.12;-21.33;UP
((0, 5), (1, 3)):-15.96;-11.25;-10.96;-12.75;LEFT
((0, 5), (1, 4)):-7.00;-6.50;-9.47;0.00;RIGHT
((0, 5), (1, 5)):-6.00;-5.50;0.00;0.00;LEFT
((0, 5), (1, 6)):-6.00;-5.50;0.00;0.00;LEFT
((0, 5), (1, 7)):-6.00;-5.50;0.00;0.00;LEFT
((0, 5), (2, 1)):-59.25;-58.47;-61.69;-65.05;DOWN
((0, 5), (2, 2)):-26.87;-27.78;-35.07;-26.70;RIGHT
((0, 5), (2, 3)):-23.88;-24.93;-20.39;-20.67;LEFT
((0, 5), (2, 4)):-13.96;-15.69;-16.29;-11.25;RIGHT
((0, 5), (2, 5)):-11.97;-11.22;-12.97;-9.75;RIGHT
((0, 5), (2, 6)):-6.00;-11.22;-6.50;-5.50;RIGHT
((0, 5), (2, 7)):-6.00;-5.50;0.00;0.00;LEFT
((0, 5), (2, 9)):-6.00;-5.50;0.00;0.00;LEFT
((0, 5), (3, 1)):-78.61;-77.49;-81.58;-73.02;RIGHT
